2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
1mng_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_0_-_0_-_3_l_2_D_2_D	_0_c_5_e_6_j_2_b_4_e_1_b_2_e_5_j_10_j_2_k_5_F_5_F	0.358
4hgv_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_4_b_16_j_20_f_2_e_5_m_3_E_2_F	0.795
3c8j_A	_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_1_i_10_i_5_G_4_C_8_d_0_-_8_C_4_C	0.438
3nsj_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_b_11_i_5_H_0_c_0_-_6_l_14_B_7_B	0.655
6s0m_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D	_4_b_0_-_2_e_1_b_8_A_1_j_9_C	0.532
6td5_h	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_0_-_1_f_0_-_6_m_7_E_5_D	0.580
2rgx_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_j_2_j_0_-_6_j_6_C_5_k_6_E	0.471
4xe3_A	_0_b_7_i_4_e_3_c_3_l_2_D	_16_b_2_j_4_e_0_-_1_m_3_B	0.673
1edz_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_k_5_C_7_e_14_g_17_j_17_D_6_h_4_D	0.468
4oeu_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_16_j_0_-_0_-_4_m_3_F_1_E	0.550
5f1z_A	_0_b_0_-_7_i_4_e_3_c_3_l	_4_b_1_h_7_i_12_i_4_b_3_k	0.536
5hpl_C	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_5_j_0_-_3_b_0_-_0_D_2_A_7_b_5_F	0.364
3lst_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_j_2_k_1_d_6_g_3_k_3_C_2_C	0.559
5fms_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_7_j_3_D_5_c_4_c_0_-_4_B_5_A_10_C	0.504
2oyo_A	_0_b_7_i_4_e_3_c_3_l	_0_b_2_k_5_f_1_j_11_l	0.572
2qlr_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_1_g_6_b_1_b_4_C_13_k_3_D_3_b_18_E	0.502
2bbh_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_2_b_0_-_1_d_0_-_4_A_1_B_4_j_3_g_6_C_3_E	0.387
2hdo_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_4_b_1_A_3_f_7_B_4_e_8_B_1_b_8_h_4_b_0_D_2_i_2_D	0.372
3e27_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_12_j_4_F_0_h_3_c_0_-_4_D_13_B	0.565
1s7i_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_5_o_0_-_2_E_3_b_0_-_1_D_4_D	0.390
2wme_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_j_0_-_3_b_5_m_4_D_2_H_2_D	0.636
1oi6_A	_0_b_7_i_4_e_3_c_3_l	_5_b_0_B_21_c_4_e_6_j	0.394
3fvq_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_7_b_3_B_11_e_10_k_2_b_4_b_2_k_5_D_7_m_3_D	0.468
5a5t_H	_0_b_7_i_4_e_3_c_0_-_3_l	_2_b_6_C_3_d_10_c_22_f_7_m	0.410
1a0c_A	_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_d_15_c_3_n_3_D_0_c_6_n_5_E	0.493
2pb1_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_8_b_12_l_2_b_3_D_6_b_2_m_6_C_14_b_4_E	0.491
2ica_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D	_10_b_3_F_1_b_2_d_2_b_4_c_0_-_0_C	0.413
2i10_B	_0_b_7_i_4_e_0_-_3_c_3_l	_2_d_6_g_3_g_2_j_4_e_5_l	0.520
6aw7_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_j_5_k_0_-_7_l_3_D_5_f_7_E	0.549
2gmg_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_j_0_-_9_c_9_l_4_D_3_A_29_E	0.745
3e8x_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_9_b_8_j_3_A_9_b_4_l_3_F_2_A_6_D	0.637
3epd_3	_4_e_0_-_3_c_3_l_2_D_2_D	_0_c_3_A_12_c_0_-_1_C_9_C	0.491
2gfh_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_b_7_j_3_b_0_D_7_d_0_-_4_D_15_B	0.600
1pbe_A	_0_b_0_-_7_i_4_e_0_-_0_-_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_4_d_6_B_0_h_4_e_1_B_1_E_2_E_0_c_5_B_2_l_2_B_3_E_7_E	0.373
1nz6_A	_0_b_7_i_4_e_3_c_3_l	_6_d_22_k_2_c_5_c_4_h	0.521
4ubp_C	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_d_5_j_5_D_7_i_7_b_3_k_4_B_9_g_4_B	0.455
2vy1_A	_0_b_7_i_4_e_3_c_3_l	_4_f_1_h_5_f_3_b_4_m	0.581
1p5f_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_3_h_1_j_3_D_3_e_7_A_3_f_0_-_6_A_4_C_2_C	0.372
3f7o_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_3_E_11_i_10_E_0_-_9_l_8_D_3_A_2_j_3_D	0.430
1hk8_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_5_b_1_c_15_c_5_F_1_g_4_n_2_E_5_k_25_j_8_C	0.375
1qyr_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l	_1_b_0_A_6_G_10_k_5_c_6_e_8_b_2_l	0.402
4fke_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_5_d_5_f_11_b_3_d_10_j_1_l_2_B_1_k_10_h_5_E	0.417
1sxj_B	_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_5_b_5_j_6_C_6_n_0_C	0.475
2o14_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_14_b_1_b_3_e_4_c_0_-_6_B_22_i_3_B	0.501
1b23_P	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_3_m_9_B_2_i_0_-_0_-_9_l_12_B_2_D	0.537
1oaa_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_11_b_3_g_5_j_8_F_2_b_7_n_3_F_6_h_3_j_6_k_6_C	0.356
4rpt_A	_7_i_4_e_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_2_k_0_-_1_d_4_H_2_C_5_k_3_A_8_D_7_E	0.387
2gsy_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_0_-_7_c_4_b_0_-_0_E_4_C	0.474
2r8w_A	_0_b_0_-_7_i_4_e_3_c_3_l	_1_b_2_e_8_i_1_i_1_j_16_l	0.477
1poa_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_0_-_5_c_17_l_14_C_2_C	0.710
1g7e_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_0_i_2_F_9_j_3_F_7_d_0_-_11_F_7_C	0.418
4woq_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_12_k_5_C_2_b_1_b_2_l_4_D_5_k_4_D	0.509
1xi9_C	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_4_b_2_h_5_A_5_b_6_j_12_l_5_b_0_C_1_k_5_E	0.437
1q8k_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_6_e_5_e_5_h_4_e_4_k_6_C_3_A_6_k_7_F	0.453
1n62_A	_0_b_7_i_4_e_3_c_3_l	_1_b_9_g_9_k_5_f_11_l	0.598
4uur_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l	_0_c_3_l_3_g_6_k_6_d_4_c_7_m	0.485
4j72_A	_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_0_g_2_l_2_d_6_n_5_q_6_m_10_B_7_B	0.361
2etj_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_f_1_f_2_d_0_-_6_D_9_C	0.590
6g2j_L	_0_b_0_-_0_-_7_i_4_e_0_-_3_c_3_l	_12_c_3_k_10_g_7_i_4_h_18_o_14_c_1_l	0.357
5fmg_F	_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_0_c_2_c_5_E_2_D_30_o_5_m_11_C_5_D	0.369
1dg9_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_0_F_11_h_0_-_15_c_0_-_2_C_2_j_8_C	0.494
3cxr_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_9_b_2_g_0_-_0_-_5_l_2_E_2_b_7_p_1_G	0.441
1j2g_A	_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_2_d_3_b_3_k_5_l_3_I_3_C_9_B	0.430
2fvk_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_2_b_10_c_13_d_5_d_18_C_18_b_17_E_2_D	0.574
4omu_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_f_13_D_3_c_2_e_4_D_3_k_2_C_1_b_6_C	0.407
1y4j_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_14_b_9_i_7_h_60_F_3_b_0_-_2_C_20_C	0.609
4j5i_D	_7_i_0_-_0_-_4_e_3_c_3_l_2_D_2_D	_7_j_20_G_7_D_0_e_3_h_0_-_1_D_5_D	0.448
6dke_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_0_-_0_-_2_D	_4_k_3_C_9_c_1_d_5_B_7_l_4_k_2_D_4_d_6_g_3_E	0.353
6ilr_B	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_2_c_7_g_3_E_3_j_5_F_6_c_4_B_2_g_6_k_4_D_1_b_1_D	0.379
2glk_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_c_17_i_0_-_4_D_0_c_6_m_5_B_6_b_9_n_4_C	0.439
1f3u_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_3_b_3_D_2_c_2_C_4_b_0_-_5_C_10_D	0.447
1uh6_A	_7_i_4_e_0_-_0_-_3_c_3_l_2_D	_4_j_3_b_1_C_2_A_6_c_0_-_5_E	0.377
1zvs_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_j_2_i_1_j_1_c_0_-_6_G_4_J_4_E	0.438
1ufb_A	_0_b_7_i_4_e_3_c_3_l	_9_e_9_j_8_b_5_c_2_o	0.516
2ohf_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_5_b_5_i_2_b_2_E_2_e_3_k_4_D_1_h_2_i_6_j_2_F	0.412
3bgs_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_4_b_3_c_1_h_3_I_9_H_0_d_25_k_7_F_8_h_4_B	0.386
1wb4_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_12_c_5_f_9_d_2_b_0_E_1_k_5_D_9_l_7_F	0.508
1n8p_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_12_j_6_D_4_c_2_c_0_-_3_D_13_D	0.656
3jst_A	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_0_h_5_A_0_-_6_E_3_m_4_D_2_E	0.438
4fet_B	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_0_c_2_f_4_l_7_d_6_c_9_j_10_B_8_c_2_D_2_D	0.476
5f4c_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D	_0_b_3_j_3_b_3_h_7_E_3_e_1_k_4_D	0.549
4fm4_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_6_c_4_c_1_e_4_f_0_-_9_E_4_E	0.500
2psq_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_16_b_2_d_5_l_11_h_12_i_4_b_3_l	0.419
4wfa_Q	_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_c_0_C_3_f_3_E_5_j_6_E_16_F	0.398
5hvm_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_1_b_2_h_7_D_7_c_5_g_4_C_2_k_4_A_2_C_2_F	0.454
3k12_A	_4_e_3_c_0_-_3_l_2_D_2_D	_11_m_4_b_0_G_2_j_10_E_12_C	0.355
7lvl_D	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_12_k_4_A_7_b_2_l_5_C_5_k_3_D	0.490
1k20_A	_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_3_i_9_c_4_E_2_I_2_d_2_l_3_G_4_G_2_g_7_D	0.390
4a2q_D	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_h_6_j_7_j_2_d_6_j_4_C_6_k_9_C	0.509
2f7f_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_2_b_3_k_3_A_2_f_9_f_2_j_2_D_10_k_1_F	0.508
2a7s_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_b_3_m_0_-_3_D_6_b_2_l_5_D_6_g_2_E	0.475
1g2x_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_0_-_4_c_17_l_14_C_2_C	0.710
3ufb_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_b_4_j_12_F_0_d_0_-_3_j_1_F_13_F	0.591
4tv6_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_3_f_3_C_5_i_13_E_2_d_1_c_7_C_1_f_9_l_3_C_6_f_4_E	0.396
1ja9_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D	_10_b_2_g_5_j_0_I_2_b_8_p_2_F	0.432
1kpf_A	_4_e_0_-_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_0_e_7_C_3_D_7_F_6_b_2_n_6_C_3_c_8_D	0.355
1x9y_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_15_k_7_g_8_b_4_i_2_F_4_h_4_F	0.433
5vgm_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_8_c_12_j_3_d_5_e_0_-_7_I_4_B_2_B	0.509
2vgl_A	_0_b_7_i_0_-_4_e_3_c_3_l	_1_c_6_j_4_m_1_j_2_c_4_l	0.529
7qiy_J	_0_b_7_i_4_e_3_c_3_l	_8_b_2_j_1_c_3_b_16_m	0.779
1alc_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_f_1_b_2_b_2_j_6_B_4_B	0.490
4j5s_C	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_b_5_E_9_h_2_f_5_F_2_F_10_m_4_C_11_j_6_F	0.360
3ppi_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D	_2_b_7_p_1_G_5_c_3_h_10_k_7_C	0.401
3ewp_B	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_j_2_F_8_i_0_-_1_k_4_C_6_G_8_i_8_D	0.354
2zgy_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_0_b_2_F_5_i_6_j_4_f_6_p_7_D	0.485
2hls_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_6_k_7_h_4_F_6_m_5_F_4_e_7_C	0.368
2gpr_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_0_-_0_-_3_c_0_-_5_F_3_B_4_D	0.379
1wy7_D	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_i_0_-_9_b_6_k_7_D_5_g_4_E	0.617
2gi3_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_0_-_2_c_4_c_2_l_2_C_15_D	0.751
5veu_F	_4_e_3_c_3_l_2_D_2_D	_1_d_13_c_20_l_2_D_22_F	0.893
4o8v_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_7_b_2_j_11_c_15_k_10_J_2_d_3_e_4_I_5_C	0.401
3t4x_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D	_9_b_2_j_2_g_7_E_3_b_6_e_2_i_4_E	0.452
3qh4_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D	_13_j_2_D_11_l_1_c_1_J_1_l_7_D	0.422
4m0c_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_j_5_g_2_f_3_F_7_d_0_-_9_B_4_B_8_D	0.450
1u8v_A	_0_b_7_i_4_e_0_-_0_-_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_3_b_4_l_4_c_0_B_6_B_0_b_5_m_6_o_3_l_3_C_11_b_8_D	0.356
3ecd_D	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_2_c_1_l_1_A_9_f_2_b_5_k_4_B_5_j_5_D_3_D	0.432
1dkq_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_9_b_11_j_4_e_2_j_1_b_1_c_10_c_4_B_4_B	0.501
2gi4_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l	_14_c_4_B_3_i_2_d_0_A_15_c_4_m	0.556
1wur_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_2_j_1_c_2_d_0_-_3_B_6_J_5_J_3_B	0.491
1yt8_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_d_6_A_2_j_6_D_4_j_6_C_2_f_17_m_2_B_1_h_5_D	0.369
1oz7_B	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_1_j_4_A_7_f_9_F_4_b_0_-_19_D_0_b_1_D	0.436
2axo_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_7_g_7_E_15_h_12_C_3_C_3_k_8_D_4_D	0.376
4f0f_A	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_9_c_3_i_10_D_4_D_6_e_0_-_7_n_12_b_0_B_10_B	0.413
5xnl_a	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_3_b_28_e_2_r_6_k_5_d_2_b_5_l	0.427
3kwg_B	_4_e_0_-_3_c_3_l_2_D_2_D	_0_d_9_C_3_d_0_-_7_E_2_E	0.527
4pj3_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_c_2_g_4_i_16_j_5_e_6_c_28_s_2_B_5_B	0.470
5v7q_V	_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_8_h_0_-_3_D_5_D_7_c_0_-_8_D_2_E	0.400
1zh5_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_1_f_6_A_6_e_3_h_13_A_12_g_2_D_7_g_5_C	0.427
2fbk_A	_7_i_4_e_3_c_3_l_2_D_2_D	_5_k_7_f_5_b_2_g_2_A_5_B	0.409
5xkd_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_b_1_I_3_j_4_j_12_g_1_b_2_j_6_j_5_C_1_k_5_C	0.382
6d7k_F	_0_b_7_i_4_e_0_-_3_c_3_l	_2_a_10_j_1_f_3_t_8_h_1_l	0.469
3mc1_A	_7_i_4_e_3_c_3_l_0_-_2_D_0_-_0_-_2_D	_9_k_8_f_4_c_7_l_12_j_2_H_0_i_3_b_2_D	0.405
6dk3_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_1_l_1_A_9_f_2_c_6_l_7_C_5_j_6_A	0.502
5fef_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_16_E_4_C_10_i_0_-_4_c_0_-_1_B_2_H_3_E	0.414
4mdu_A	_0_b_7_i_4_e_3_c_0_-_3_l	_3_b_1_i_8_d_1_c_2_b_2_k	0.709
7c9r_L	_0_b_0_-_7_i_4_e_3_c_3_l	_16_b_11_r_4_k_5_d_2_b_8_i	0.414
5ujk_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_e_5_j_1_h_0_-_6_l_4_I_1_b_1_J_2_D	0.411
6lp9_C	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_k_4_D_0_e_0_B_0_-_5_E_4_E	0.367
2yy5_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_1_j_3_d_2_f_15_k_5_B_2_o_7_B	0.599
5iq3_A	_0_b_7_i_4_e_3_c_0_-_3_l_0_-_2_D	_5_b_6_l_0_-_1_c_1_H_1_l_2_b_2_D	0.493
3qzy_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_8_n_3_n_4_i_1_m_5_B_4_B	0.428
2wcs_A	_0_b_0_-_0_-_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_1_b_1_k_3_E_9_j_3_b_21_b_4_B_4_m_3_D_9_j_4_D	0.446
3pfq_A	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_0_e_4_i_11_B_6_F_6_g_0_-_4_n_2_A_8_B_5_B	0.361
6ioy_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_0_-_2_D	_1_b_4_k_5_D_2_d_2_c_5_f_8_l_3_b_1_F_3_F_2_D	0.487
5a9q_B	_0_b_0_-_7_i_4_e_3_c_3_l	_1_c_3_t_2_g_4_d_3_d_3_k	0.529
3mdy_A	_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_0_-_2_D	_0_j_7_c_2_c_1_H_2_G_2_H_0_k_12_F_2_b_1_E	0.362
2z36_B	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_6_j_4_l_1_l_2_h_1_l_7_C_3_B	0.446
1opc_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_j_5_A_0_g_0_-_11_j_9_C_3_C	0.525
2uwx_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_0_f_3_j_4_f_12_b_7_j_3_A_5_D_5_C	0.595
1jkx_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_j_6_F_5_g_3_C_2_b_3_l_3_C_8_e_4_D	0.469
3f7d_A	_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_0_h_3_j_0_-_16_k_9_r_4_B_5_B	0.404
5iu2_B	_7_i_4_e_3_c_3_l_2_D_2_D	_2_j_10_D_13_c_0_-_0_D_18_F	0.432
3pvl_A	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_8_b_1_m_7_l_5_j_2_b_6_m_6_l_6_H_7_F_2_D	0.408
3uie_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_g_4_E_6_k_4_D_0_c_11_n_3_D_5_h_6_E	0.395
1aln_A	_0_b_7_i_0_-_4_e_0_-_0_-_0_-_3_c_0_-_3_l_2_D_2_D	_8_b_3_j_5_E_5_f_5_b_1_B_6_A_0_c_6_c_19_j_10_F_4_D	0.405
2v1n_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_b_1_n_4_B_0_g_8_b_5_g_5_E_2_E	0.439
2dqw_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_3_i_3_B_7_i_2_D_9_c_5_m_5_C_8_h_1_d_5_B	0.375
3j7y_F	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_d_4_k_2_A_48_A_0_-_6_m_3_C_9_j_5_C	0.367
2g7s_A	_0_b_7_i_4_e_3_c_3_l	_1_b_2_g_3_f_3_q_3_m	0.522
