2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
6chh_A	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_9_b_0_-_0_-_1_C_5_D_0_-_3_J_3_I	_1_G_2_j_0_-_9_i_6_j_0_E_16_F_2_c_3_j_2_J_4_C_2_C_5_i_2_H_13_G	0.362
2ica_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_5_G_3_D_1_f_2_d_11_f_0_-_7_b_6_G_10_b_3_F	0.501
2gmg_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_j_9_c_0_-_9_l_0_-_4_D_3_A_29_E	0.461
3epd_3	_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_0_c_0_-_3_A_12_c_1_C_9_C_12_e_2_D_2_F_8_F	0.362
1fmb_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_e_7_A_0_-_3_B_2_B_2_H_2_I	0.404
2gfh_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_3_E_3_j_2_b_2_C_0_b_7_j_3_b_0_D_7_d_4_D	0.448
1pbe_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_3_j_4_C_4_d_6_B_0_h_0_-_4_e_1_B_1_E_0_-_2_E	0.434
1nz6_A	_0_i_3_d_2_f_4_o_9_b	_0_i_6_d_22_k_2_c_5_c	0.479
4ubp_C	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_2_j_19_l_11_h_3_f_16_C_1_b_6_C_2_F	0.434
2vy1_A	_0_i_3_d_2_f_4_o_9_b	_10_h_7_e_1_h_1_k_4_f	0.443
1p5f_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_1_j_3_D_3_e_7_A_3_f_6_A_0_-_4_C_2_C	0.460
1sxj_B	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C	_10_E_1_b_2_d_2_e_4_F_2_b_2_c_3_C	0.394
1b23_P	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_7_I_0_-_0_-_0_-_0_-_2_b_13_C_2_G_12_J_6_E_2_I	0.430
5xoz_A	_9_b_0_-_1_C_5_D_3_J_3_I	_3_b_5_A_1_F_6_F_5_F_5_F	0.377
4rpt_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_13_F_2_k_1_d_4_H_2_C_5_k_0_-_0_-_3_A_8_D_7_E_2_G	0.370
5tjf_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b	_0_i_7_q_1_e_3_e_1_c_8_p_3_f	0.379
3lhh_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_h_6_c_5_B_6_g_0_-_0_-_4_B_5_C	0.386
5a2q_a	_0_I_0_i_3_d_2_f_4_o_9_b	_4_G_3_h_10_G_1_f_0_-_9_b	0.383
1j6x_A	_0_I_0_i_3_d_2_f_4_o_9_b	_5_F_4_i_3_b_19_k_0_-_1_b	0.371
1poa_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_5_c_0_-_17_l_0_-_14_C_2_C	0.439
1xi9_C	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_2_h_5_A_5_b_6_j_12_l_5_b_0_C_1_k_5_E_3_h_3_G	0.420
1q8k_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_17_I_4_D_5_r_6_e_5_e_5_h_0_-_4_e_4_k_6_C_3_A_6_k_7_F_2_F	0.352
1tfe_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J	_5_H_0_-_2_d_1_m_6_b_2_l_5_n_1_b_1_A_2_D_0_j_4_H	0.449
4s0u_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_0_-_3_J_3_I	_0_H_0_-_1_b_0_-_0_-_3_b_0_F_2_F_6_A_3_d_4_o_14_H_5_H	0.378
1rds_A	_4_o_9_b_1_C_5_D_3_J_3_I	_1_m_0_-_8_B_13_E_14_E_4_E	0.372
3qzr_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_2_I_0_-_1_D_0_-_0_-_0_b_4_C_2_I_10_E_9_b_7_G_7_L_2_H	0.368
2etj_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_8_G_6_g_3_G_1_f_1_f_0_-_2_d_6_D_9_C	0.541
5fmg_F	_3_d_2_f_0_-_0_-_4_o_9_b_1_C_5_D	_0_c_2_c_5_E_2_D_30_o_5_m_11_C_5_D	0.387
1dg9_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_0_F_5_l_3_b_0_F_11_h_0_-_15_c_2_C_2_j_8_C	0.382
6hpi_A	_9_b_1_C_5_D_3_J_0_-_3_I	_1_b_4_C_2_C_10_E_3_b_7_F	0.459
3cxr_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_5_f_0_-_3_h_8_j_1_b_6_C	0.507
1j2g_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_22_J_1_g_0_-_9_k_5_l_0_-_5_H_1_G_2_J_4_I	0.466
4omu_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_F_7_j_4_F_5_g_5_C_4_f_2_A_1_e_4_C_5_C	0.388
1y4j_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_9_i_0_-_7_h_60_F_3_b_2_C_20_C	0.451
6ilr_B	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_3_E_3_j_5_F_6_c_4_B_2_g_6_k_4_D_1_b_1_D_5_B	0.433
2glk_A	_0_i_0_-_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D	_17_i_4_D_0_c_0_-_6_m_5_B_6_b_9_n_4_C_5_A	0.391
1f3u_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_8_E_1_b_3_b_3_D_2_c_2_C_4_b_5_C_10_D_6_E_10_D_5_K	0.361
1zvs_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_2_E_6_B_2_j_0_-_2_i_1_j_1_c_0_-_6_G_4_J_4_E	0.449
4ebr_B	_4_o_9_b_1_C_5_D_3_J_3_I	_0_k_0_-_8_E_6_D_8_I_4_I	0.458
6f47_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_f_1_c_0_-_4_o_1_b_5_h_2_A_6_A	0.466
1wb4_A	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_0_-_3_I	_2_H_10_E_16_j_5_D_12_c_5_f_9_d_2_b_0_E_1_k_5_D_9_l_7_F_5_j_6_A_7_E	0.370
1n8p_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_4_E_12_j_6_D_4_c_0_-_0_-_2_c_3_D_13_D	0.437
1yal_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_19_l_0_-_7_f_11_j_18_b_9_C_5_f_4_D_4_c_5_A_9_J_2_F	0.472
6sl4_A	_9_b_1_C_5_D_0_-_3_J_3_I	_0_b_0_F_7_G_3_b_0_J_2_H	0.531
3jst_A	_2_f_0_-_0_-_4_o_9_b_1_C_5_D	_0_h_5_A_6_E_3_m_0_-_4_D_2_E	0.377
4fet_B	_0_i_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_2_f_4_l_7_d_6_c_9_j_10_B_8_c_2_D_2_D	0.434
5f4c_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_3_j_3_b_3_h_0_-_0_-_7_E_3_e_1_k_4_D	0.356
4fm4_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_E_6_c_4_c_1_e_0_-_4_f_9_E_4_E	0.408
4ow1_X	_0_i_3_d_2_f_4_o_9_b	_0_h_19_e_6_b_2_n_3_d	0.581
2psq_A	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_9_G_6_l_9_D_6_D_6_f_10_n_2_A_5_b_0_B_5_B	0.393
4wfa_Q	_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_0_c_0_C_3_f_0_-_0_-_3_E_5_j_6_E_16_F	0.397
2gia_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_10_H_2_i_0_-_0_-_0_-_0_-_6_C_3_F_7_H_2_H	0.407
1g2x_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_4_c_0_-_17_l_0_-_14_C_2_C	0.442
4tv6_A	_0_i_0_-_3_d_0_-_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_5_i_13_E_2_d_1_c_7_C_1_f_9_l_0_-_3_C_6_f_4_E	0.352
4csb_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_I_0_-_2_J_2_f_0_-_0_-_2_F_2_F_5_H_5_I	0.387
1ja9_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_2_F_5_h_0_-_10_i_9_j_1_b_6_C	0.445
4g2s_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_G_0_-_0_-_1_f_0_-_0_-_9_D_7_D_6_F_2_E	0.353
5vgm_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J	_12_j_3_d_5_e_7_I_0_-_4_B_2_B_7_F	0.357
2vgl_A	_0_i_3_d_2_f_4_o_9_b	_3_k_2_f_2_f_5_m_1_b	0.608
6ftl_I	_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_k_0_-_3_F_10_F_5_k_4_G_6_H	0.363
3crd_A	_0_i_3_d_2_f_4_o_9_b	_0_k_8_f_4_f_6_i_8_f	0.388
7qiy_J	_0_i_3_d_2_f_4_o_9_b	_2_j_1_c_3_b_16_m_3_g	0.434
1alc_A	_2_f_4_o_9_b_0_-_1_C_5_D	_0_f_1_b_2_b_2_j_6_B_4_B	0.386
4j5s_C	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_5_D	_5_E_9_h_0_-_2_f_5_F_2_F_10_m_0_-_4_C_11_j_6_F	0.369
3zhn_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_1_C_0_-_5_D_3_J_3_I	_14_G_0_-_3_d_2_e_0_-_1_g_0_H_4_G_5_E_4_b_3_D_5_G_3_E	0.410
3ppi_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_5_c_3_h_10_k_0_-_7_C	0.406
1u8s_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_I_4_j_3_I_2_I_0_-_1_m_0_-_2_F_9_H_5_j_4_H_2_I	0.386
2zgy_A	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_9_b_1_C	_2_F_5_i_6_j_4_f_6_p_7_D_3_i_5_b_0_A	0.389
2hls_A	_0_i_3_d_2_f_0_-_4_o_0_-_9_b_1_C_5_D	_6_k_0_-_7_h_4_F_6_m_5_F_4_e_7_C_2_D	0.408
2byc_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b	_3_H_0_j_4_J_11_B_1_f_0_-_1_b	0.371
7c8n_A	_0_I_0_i_3_d_2_f_4_o	_2_H_3_k_4_d_3_g_6_p	0.730
3t4x_A	_0_I_0_-_0_-_0_i_0_-_3_d_2_f_4_o_9_b	_7_E_3_b_6_e_2_i_4_E_7_c_12_f_16_j_1_b	0.357
3qh4_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_1_J_1_l_7_D_9_d_8_j_0_-_10_b_0_-_0_-_9_G_3_k_4_I	0.387
4m0c_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_5_E_9_j_5_g_2_f_3_F_7_d_9_B_4_B_8_D	0.436
2bwr_A	_9_b_1_C_5_D_3_J_3_I	_4_b_8_C_8_D_4_E_5_G	0.705
1u8v_A	_0_i_3_d_0_-_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_4_l_4_c_0_B_6_B_0_b_5_m_6_o_3_l_3_C_11_b_8_D_0_-_3_G	0.361
3k60_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_E_6_d_8_k_4_c_3_f_0_-_0_-_1_H_6_D_4_E_9_G	0.456
2cga_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_26_E_0_-_1_c_10_G_1_j_0_-_0_-_4_D_13_E_2_I_9_E	0.365
1pby_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_0_-_0_-_0_-_5_D_3_J_3_I	_6_k_5_b_3_d_11_f_0_-_6_c_1_B_1_k_1_d_8_c_5_f_15_H_3_J_2_H	0.360
3ecd_D	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_D_9_i_3_D_4_d_0_-_0_-_6_b_3_D_2_b_5_D	0.416
1dkq_A	_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_3_I	_2_m_4_c_4_m_3_f_1_j_5_A_1_b_1_A_3_E_1_j_17_H_4_I	0.454
2gi4_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_6_E_11_h_14_c_4_B_3_i_0_-_2_d_0_A	0.370
1wur_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_k_7_b_2_j_1_c_2_d_3_B_0_-_6_J_5_J	0.426
1yt8_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_1_h_5_D_3_e_6_A_2_e_0_-_1_c_6_D_9_d_3_D	0.408
1oz7_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_I_1_j_4_A_7_f_9_F_4_b_19_D_0_b_1_D_0_-_5_H	0.508
2axo_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_0_E_7_g_7_E_15_h_12_C_3_C_3_k_0_-_8_D_4_D_7_J_7_I	0.472
1kz7_A	_0_i_3_d_2_f_4_o_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_3_i_5_d_1_k_10_n_2_b_0_A_5_c_5_F_13_E_3_F_11_G	0.556
4f0f_A	_0_I_0_-_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_5_E_9_c_3_i_10_D_4_D_6_e_0_-_7_n_12_b_0_B_10_B	0.417
3kwg_B	_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_d_0_-_9_C_3_d_7_E_2_E_6_J_2_J	0.432
4pj3_A	_0_i_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_1_g_2_c_2_g_4_i_16_j_5_e_6_c_28_s_2_B_5_B_7_I_12_G	0.433
1r6o_C	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C	_0_F_6_j_0_-_3_k_1_G_0_m_0_-_5_F	0.350
4b7f_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_2_G_9_i_0_-_11_i_1_j_1_b_9_A_4_C_5_I_8_i_3_j_5_I	0.531
1zh5_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_1_f_6_A_6_e_3_h_13_A_12_g_2_D_7_g_5_C_0_-_11_E	0.357
5ldv_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_13_H_5_J_0_-_0_-_1_f_0_-_0_-_5_C_2_D_9_G_1_A_3_J_3_J	0.392
5xkd_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_1_C_0_-_5_D	_1_I_3_j_4_j_12_g_0_-_1_b_2_j_6_j_5_C_1_k_5_C	0.408
3mc1_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_2_H_0_i_3_b_2_D_8_f_0_-_7_b_6_g_6_B_6_f_3_B	0.473
6dk3_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_10_j_0_-_2_D_1_g_0_-_6_b_3_D_10_E	0.439
5fef_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_16_E_4_C_10_i_4_c_0_-_0_-_0_-_1_B_2_H_3_E_2_F_3_F	0.356
1g6e_A	_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_0_c_1_D_4_A_6_E_4_E_7_E_3_B_6_G	0.358
1xne_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_3_I_3_f_2_c_6_g_0_-_0_-_14_F	0.408
4mdu_A	_0_i_3_d_2_f_4_o_0_-_9_b	_2_i_3_k_5_g_4_m_9_c_3_b	0.397
5ujk_A	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_5_j_0_-_1_h_6_l_4_I_1_b_1_J_2_D	0.390
6lp9_C	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_F_5_B_4_k_4_D_0_e_0_-_0_B_0_-_5_E_4_E_8_F_5_I	0.359
2yy5_B	_0_i_3_d_2_f_0_-_0_-_4_o_0_-_9_b	_1_j_3_d_2_f_15_k_5_B_2_o_7_B_24_b	0.427
1iz6_A	_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_0_b_5_C_2_I_9_G_5_F_3_D_2_I	0.358
2wcs_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_3_E_9_j_3_b_21_b_4_B_4_m_0_-_3_D_9_j_4_D	0.434
3pfq_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_8_G_7_A_9_c_0_-_2_E_5_b_3_A_6_E_8_E_5_G	0.355
3mdy_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_2_H_0_k_12_F_2_b_1_E_7_f_4_n_11_A_5_b_0_B_5_B	0.470
1opc_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_3_j_5_A_0_g_11_j_0_-_9_C_3_C	0.366
4x1e_A	_0_i_3_d_2_f_4_o_0_-_0_-_9_b	_2_g_0_-_3_f_3_o_6_m_1_j_6_b	0.400
3ix6_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_3_J_0_b_8_k_5_d_6_b_10_f_0_A_0_-_5_A_1_j_7_B_3_c_8_H_2_J	0.380
5d9b_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_I_0_-_0_c_0_-_4_F_0_-_5_E_3_D_7_E_4_G	0.355
1jkx_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_0_E_4_j_6_F_5_g_3_C_2_b_3_l_3_C_8_e_4_D_11_f_4_G_9_G	0.395
5iu2_B	_0_I_0_i_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_5_G_6_g_8_F_2_E_7_g_4_n_2_A_5_b_0_B_4_B	0.429
5j9g_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_H_5_i_5_B_6_c_0_-_6_B_1_b_0_-_1_D_0_-_2_I	0.448
3uie_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_E_6_k_4_D_0_c_0_-_11_n_0_-_3_D_5_h_6_E	0.399
2v1n_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_g_8_b_5_g_0_-_0_-_5_E_2_E	0.360
