3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
6td5_b	_0_i_4_E_0_-_5_k_8_C_0_-_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_0_h_6_D_3_D_17_B_4_C_1_A_1_o_5_l_10_A_3_C_0_-_0_-_2_E_7_A_0_-_2_C_4_i_6_g_1_c	0.361
6a7s_B	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F	_2_I_1_i_3_A_5_j_7_H_4_C_0_-_0_-_21_F	0.403
4oen_B	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_0_-_0_-_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k	_8_B_5_A_1_k_3_C_3_i_4_A_0_-_9_b_1_B_4_I_8_b_3_D_3_g_1_c_2_D_2_i_4_D_0_h_4_A_5_E_2_B_0_-_0_-_4_m_1_j	0.382
3p1a_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_5_F_6_m_8_F_0_-_2_F_5_g_5_n_2_A_5_b_0_B_1_b_0_-_1_B_6_A_7_b_2_d_5_l_7_f_6_c_0_-_4_i_0_-_10_d_2_b	0.386
2pcj_A	_0_i_4_E_0_-_5_k_8_C_0_-_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_5_g_7_E_2_A_5_j_0_C_11_j_4_k_10_b_2_j_6_D_7_l_0_-_3_D_0_-_3_c_4_E	0.449
2qsj_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_E_3_k_3_E_2_h_6_D_2_i_0_-_4_E_0_-_3_g_4_C_4_j	0.653
3unv_A	_0_i_4_E_0_-_5_k_0_-_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_6_k_4_C_2_l_7_j_3_A_2_B_5_j_4_C_2_C_0_g_10_e_3_t_5_b_1_c_0_-_5_k_9_j_15_c_1_p_7_B_4_B_7_s_9_b_0_-_13_k_22_t_6_j_0_-_0_-_12_i	0.403
2rj9_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_0_-_2_c_3_C_0_-_4_j_0_-_2_c_1_c	_6_i_3_G_1_m_5_G_2_b_9_F_6_c_1_d_2_c_2_D_3_B_5_b_3_D_8_b_25_D_0_n_7_j_4_B_1_b_3_c	0.477
1mng_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_0_-_0_-_0_-_3_b_2_c_2_i	_0_c_5_e_0_-_6_j_2_b_4_e_0_-_1_b_2_e_0_-_5_j_10_j_2_k_5_F_5_F_4_c_2_F_2_b_1_c_3_g	0.479
1p0r_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_F_0_-_3_F_5_h_10_B_0_-_0_-_20_E	0.362
3c8j_A	_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_E_2_I_1_i_0_-_10_i_5_G_4_C_0_-_8_d_8_C_0_-_0_-_4_C	0.421
6s0m_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_0_-_1_c_2_m	_0_I_0_-_4_I_0_-_4_E_4_b_2_e_0_-_1_b_8_A_1_j_9_C_3_j_2_b_9_A_0_f_15_l	0.424
2rgx_A	_0_i_4_E_0_-_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_6_j_2_C_0_j_2_j_6_j_6_C_5_k_6_E_2_h_0_-_1_B_6_B_15_b_1_q_2_D_4_k	0.492
4m7w_A	_0_i_0_-_4_E_0_-_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c	_3_j_1_F_5_E_2_E_4_l_3_I_9_B_0_-_2_B_3_d_11_k_4_B_2_B_0_-_11_e_4_A_2_j_2_J_8_h_2_g	0.358
2ngr_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j	_5_i_11_I_0_-_2_I_3_b_3_c_5_F_3_e_5_f_5_E_1_d_1_g_8_i_5_B_8_j	0.434
4xe3_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_g_2_D_0_-_7_C_2_g_4_A_0_-_2_b_0_-_16_b_2_j_4_e_1_m_3_B_7_j_3_b_1_f_14_n_5_f_0_-_9_s_5_f_0_-_1_k	0.403
1edz_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_0_-_0_-_4_j_0_-_0_-_2_c_1_c_0_-_2_m	_6_E_4_m_2_E_3_k_5_C_7_e_14_g_17_j_17_D_0_-_6_h_4_D_3_E_10_F_2_i_2_C_17_D_8_c_0_-_2_D_3_o	0.377
1i27_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	0.522
5hpl_C	_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F	_0_E_0_-_5_E_5_j_3_b_0_D_2_A_7_b_0_-_5_F	0.549
3lst_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_0_-_0_-_7_m_2_k_0_-_3_l	_6_g_0_-_3_k_3_C_0_-_2_C_4_b_8_c_11_c_0_-_7_d_3_d_0_-_3_h_2_c_2_f_6_E_5_h_3_F_1_c_7_b_3_D_11_D_2_b_2_k_5_D_27_i	0.389
5fms_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_0_-_5_F_2_b_2_c_3_C_0_-_0_-_4_j_0_-_0_-_2_c_1_c_2_m	_13_f_5_C_0_-_13_D_7_j_3_D_5_c_4_c_4_B_5_A_10_C_6_b_0_-_11_C_4_B_4_D_4_A_4_E_8_D_2_c_1_c_4_j	0.422
2oyo_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_0_-_2_c_2_i	_0_b_0_-_0_-_2_k_5_f_1_j_11_l_0_-_0_-_2_l_2_h_1_b_4_l_0_-_1_b_2_h_9_d_2_h	0.408
2hdo_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_0_-_2_c_0_-_1_c	_7_f_0_-_13_k_4_b_1_A_3_f_7_B_4_e_0_-_8_B_1_b_8_h_4_b_0_D_2_i_2_D_6_b_4_B_2_g	0.432
3e27_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_6_k_4_E_14_j_5_B_12_j_4_F_0_h_3_c_4_D_0_-_0_-_13_B_8_h_10_h	0.593
1s7i_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F	_2_E_3_b_1_D_0_-_4_D_8_I_2_g_3_d_1_E	0.536
2wme_A	_0_i_0_-_0_-_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_0_-_2_i	_1_j_3_b_5_m_4_D_2_H_2_D_5_k_3_D_6_k_6_B_0_-_9_d_5_D_0_-_2_l_2_D_5_C_0_-_0_-_0_-_5_m_7_D_0_-_0_l_0_-_19_l_3_C_9_b_6_C_6_c_6_F_2_h	0.381
5a5t_H	_0_i_4_E_0_-_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_1_h_13_F_3_H_3_A_3_A_3_k_5_E_9_k_4_D_0_-_0_-_0_-_2_b_0_-_6_C_0_-_3_d_10_c_0_-_22_f_0_-_7_m_0_-_2_r_5_j_0_-_9_d	0.405
4to8_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_0_-_2_m	_0_h_4_D_3_k_4_E_0_e_3_k_6_G_2_i_3_C_6_l_4_E_0_-_8_c_5_j_3_C_11_j_3_B_7_f_0_-_4_E_1_m	0.451
6e6i_F	_0_i_4_E_0_-_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c	_10_f_4_D_2_b_7_o_4_B_11_k_5_B_17_k_3_B_11_m_3_c_5_B_1_b_2_j_6_d_3_B_5_j_1_b_0_A_23_e_0_-_5_d_5_d	0.508
6ztk_B	_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b	_0_B_4_j_7_L_3_L_0_-_0_b_17_I_0_b	0.401
3o8w_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_F_1_j_7_F_12_I_1_l_8_E_0_-_0_-_2_B_0_-_0_-_6_B	0.361
2pb1_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_7_m_0_-_2_k_0_-_3_l_6_k_3_b_2_c	_12_g_0_-_1_k_0_-_3_h_4_F_0_b_12_k_3_G_8_b_12_l_2_b_3_D_0_-_6_b_0_-_2_m_6_C_14_b_4_E_6_c_3_l_4_E_34_b_2_b_2_n_3_C_8_b_1_e	0.430
2ica_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_G_6_m_5_G_0_-_3_D_1_f_2_d_11_f_7_b_6_G_10_b_0_-_3_F_0_-_1_b_2_d_0_-_2_b_4_c_0_C_4_i	0.431
2i10_B	_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_d_2_d_0_-_6_g_3_g_0_-_2_j_4_e_0_-_5_l_9_b_0_-_5_j_2_k_8_f_2_j_0_-_0_-_3_j	0.394
2kq3_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_4_E_0_-_2_F_19_k_3_D_0_-_0_-_11_F_0_-_0_-_2_A_0_g_15_k	0.353
2xeu_A	_0_i_4_E_5_k_8_C_8_j_9_D	_0_e_4_C_0_-_4_B_0_i_15_B	0.499
6aw7_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_0_-_2_c	_0_j_0_-_5_k_0_-_7_l_3_D_5_f_0_-_7_E_2_k_5_D_2_i_5_E_3_k_3_H_8_h	0.440
1mvo_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_3_k_3_D_2_j_3_D_7_i_0_-_6_D_0_-_7_e_4_C_4_k	0.693
1s99_A	_4_E_5_k_8_C_0_-_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_7_j_6_C_4_D_1_l_8_D_29_B_13_f_0_-_3_D_0_-_0_-_2_C_3_j	0.569
2gfh_A	_0_i_4_E_5_k_0_-_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_5_j_3_E_3_j_2_b_2_C_0_b_7_j_3_b_0_D_0_-_7_d_4_D_0_-_0_-_15_B_2_j	0.572
1nz6_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_i_6_d_0_-_22_k_2_c_5_c_0_-_4_h	0.525
4ubp_C	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_0_-_7_m_0_-_2_k_3_l_6_k_3_b_0_-_2_c	_2_E_0_-_21_C_0_-_4_C_1_F_5_f_0_-_2_F_0_-_5_d_5_j_5_D_7_i_7_b_0_-_3_k_4_B_9_g_4_B_13_e_3_C_11_k_6_i_2_j_19_l_11_h_3_f_16_C_1_b	0.425
2n3e_A	_2_m_2_c_2_c_7_m_2_k_3_l	_0_l_6_f_4_i_5_n_5_n_4_p	0.452
2vy1_A	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_10_h_0_-_7_e_1_h_0_-_1_k_4_f_0_-_1_h_5_f_3_b_4_m	0.363
5eiw_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_0_-_6_k	_0_j_0_-_2_g_4_C_1_g_11_i_7_E_5_e_0_-_5_F_17_b_0_-_0_C_0_-_4_b_0_-_7_C_0_-_0_-_8_m_4_E_5_k_2_B_11_C_6_k	0.391
1p5f_A	_0_i_4_E_0_-_0_-_0_-_5_k_8_C_0_-_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j	_5_k_3_E_6_A_5_A_3_A_0_e_5_C_3_h_1_j_3_D_3_e_7_A_3_f_6_A_4_C_0_-_0_-_2_C_2_l_1_j	0.412
3f7o_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_0_-_0_-_0_-_4_j	_11_i_10_E_9_l_8_D_3_A_2_j_3_D_0_-_7_b_0_A_7_E_4_A_0_-_11_C_3_D_3_D_2_m_5_j	0.409
5tvi_W	_7_m_2_k_3_l_6_k_3_b	_0_m_5_k_3_l_6_j_13_b	0.963
1hk8_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_0_-_2_k_3_l_0_-_6_k	_10_D_5_l_12_E_12_k_3_C_0_g_0_-_30_H_0_-_0_e_2_A_2_A_1_q_5_b_1_c_0_-_15_c_5_F_1_g_4_n_2_E_5_k_25_j_8_C_7_k	0.473
1qyr_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_0_-_0_-_1_c_0_-_0_-_2_m_2_c_2_c_7_m_2_k_3_l	_0_A_2_j_7_C_7_d_5_C_3_g_5_b_0_C_3_b_2_g_3_E_5_h_2_b_0_H_0_g_9_h_0_H_1_b_0_A_6_G_10_k_5_c_6_e_0_-_8_b_2_l	0.390
4fke_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_0_-_0_-_0_-_0_-_0_-_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_0_-_6_k_3_b_2_c_0_-_2_i	_10_j_0_-_1_l_2_B_1_k_10_h_5_E_0_-_0_-_4_E_20_B_1_B_2_A_3_B_4_B_1_b_7_B_1_b_4_C_1_k_1_b_0_-_2_l_5_e_2_d_3_m_5_o_10_l_3_l_12_j_2_k_3_j_5_i_8_k_3_j	0.441
1sxj_B	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_5_j_6_C_6_n_0_C_7_b_5_d_10_E_1_b_2_d_2_e_4_F_2_b_2_c_3_C_5_l_5_j_0_-_0_-_3_l_4_g_4_g_4_f_11_k_6_n_5_k	0.577
2o14_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_3_G_7_J_0_-_7_B_0_-_33_B_7_e_2_e_0_-_14_b_1_b_3_e_4_c_6_B_22_i_3_B_1_j_1_d_11_m	0.399
1b23_P	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_3_e_6_E_0_-_4_E_4_j_4_F_6_j_0_-_4_F_1_b_3_m_9_B_2_i_0_-_0_-_9_l	0.410
1oaa_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m	_5_j_7_E_2_k_4_E_5_k_8_E_11_b_3_g_5_j_8_F_2_b_7_n_3_F_6_h_3_j_0_-_0_-_6_k	0.530
5tjf_A	_4_j_0_-_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_i_7_q_1_e_3_e_1_c_8_p_3_f_3_g_3_m_0_-_5_l	0.477
3lhh_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_4_f_6_D_0_-_7_C_0_h_6_c_5_B_6_g_0_-_4_B_0_-_0_-_5_C	0.363
6l35_D	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b	_0_c_2_G_0_-_4_B_5_B_3_F_2_i_8_E_0_-_0_-_5_B_25_b	0.371
1j6x_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_c_9_H_0_-_5_G_10_l_3_D_0_-_0_-_5_F_4_i_3_b_0_-_19_k_1_b	0.363
2r8w_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_12_l_7_A_4_k_4_B_9_k_4_B_3_c_5_g_4_C_0_-_8_g_8_A_4_h_4_C_1_b_2_e_0_-_8_i_1_i_0_-_1_j_16_l	0.414
1g7e_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_i_2_F_0_-_0_-_9_j_3_F_0_-_7_d_11_F_0_-_0_-_7_C_4_h	0.489
4woq_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_0_-_3_l	_2_l_4_D_5_k_4_D_8_j_6_D_1_c_5_f_5_E_0_-_4_i_4_C_0_-_2_g_0_-_5_C_2_l_0_-_0_-_3_n_2_i_6_A_9_l	0.477
1j9i_A	_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_B_0_f_4_f_17_B_0_-_0_g_0_-_3_i	0.391
1xi9_C	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m_2_k_3_l_0_-_0_-_0_-_6_k_0_-_0_-_3_b_2_c	_6_j_0_-_12_l_5_b_0_C_1_k_5_E_3_h_0_-_3_G_0_b_2_A_1_f_4_F_11_k_3_C_14_c_0_-_5_E_0_-_7_b_2_E_6_k_6_j_3_o_4_A_8_A_2_A_7_j_1_A_1_A_0_c_1_b	0.375
1a04_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_E_3_j_5_F_2_j_3_D_7_i_0_-_5_E_0_-_4_h_4_C_4_k_9_f_4_b_2_j_4_g_0_-_3_l_4_j	0.577
1n62_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m	_0_F_0_-_2_F_5_b_23_C_0_-_0_-_2_C_0_b_2_c_3_B_0_-_1_b_9_g_9_k_5_f_0_-_11_l	0.396
1clh_A	_4_E_5_k_0_-_0_-_0_-_8_C_8_j_9_D_0_-_6_e_1_d_5_F	_3_E_5_j_4_b_5_A_3_A_32_B_0_-_12_C_19_B_3_f_0_-_20_G	0.375
4uur_A	_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_c_0_-_3_l_3_g_0_-_6_k_6_d_4_c_7_m_0_-_3_m	0.508
2v2k_A	_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c	_0_B_1_b_6_d_5_B_4_B_10_b_0_-_5_B_0_-_0_b_2_b_2_f_10_c_7_c	0.490
1esj_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_0_-_0_-_2_c_7_m_2_k_3_l_6_k_3_b	_0_k_2_D_5_j_2_C_0_-_6_d_4_D_0_-_5_l_4_C_7_k_4_C_1_g_0_-_16_k_2_C_4_C_4_C_4_d_3_l_0_-_3_p_4_k_2_f	0.451
2etj_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k	_8_G_6_g_3_G_1_f_0_-_1_f_2_d_6_D_0_-_0_-_9_C_0_-_2_c_0_-_1_l_11_c_5_i_10_c_0_-_4_h_0_-_5_j	0.380
6ncv_A	_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_h_0_-_7_h_13_b_5_j_5_h_5_j	0.428
5fmg_F	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_2_c_5_E_2_D_30_o_5_m_11_C_0_-_5_D_0_-_0_-_5_C_1_C_4_f_11_j_5_D_10_i	0.361
1dg9_A	_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_0_F_5_l_3_b_0_F_11_h_15_c_2_C_2_j_8_C_0_c_0_-_15_p	0.523
3cxr_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c	_4_j_3_E_2_k_5_C_5_k_5_C_9_b_2_g_5_l_2_E_2_b_7_p_1_G_5_f_0_-_3_h_8_j_1_b_6_C_3_b	0.477
2db6_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b	_0_D_0_-_4_A_0_-_6_A_0_-_1_c_0_D_5_A_5_b	0.365
